manafold-blown	292	0xCCAC7CAB	b14c46c935488912686e72fd8602e8cf84dddb105a97d14772c1647a4468f5bf
manafold-channel	420	0x8D8022A0	336e5a8c74d2ab7859e4ffd22cc316ac540e679029a35b842dcbd8e3ea6d3c06
manafold-crackle	600	0x43CA2CCD	009cdfbffdab16d9e790099afd251d9f17b0a8ae2275c31fd6c09eb313d236b7
manafold-curious	180	0x265BD173	174a5d3999429721585f99affa4dfc0c8ab195b2e201de4c0ccacf32d936352d
manafold-damage	464	0x28FAADC2	837b2da0c204b4126152f05cb2a80dd9a35ee4447527aad7bf76825c19f29252
manafold-death-drop	450	0xF4FF71A1	c51f78a79778e91edd365e2d125ef8802a8724cbc78d002ad76d24ecfd6e81e4
manafold-death-gutter	590	0x658B4D3D	7cfe3292747b61c7a02bd7e0f76796c61946d1a356f74a3f8393d27e2dc56160
manafold-drift	300	0x9A76FE69	c38986b90dc23863ba0de355e6dfab5d8ef12c392455506054724ce55d6aab56
manafold-fall	340	0x0DE69D1C	b175be3ba753b53d959c8f715ae47afe568751e48b1045d706da752dd494039b
manafold-flight	352	0x5A0897E1	8bf26dcb108a0a1e038f517c6044b3f6accbac0c90815ff9576b41cd31cd3749
manafold-hasty	240	0x14EFB828	7a09c405290a333a24d42c5834e631515491ff05ca9aed460ae3cf64290b7bc6
manafold-hit	140	0x39F4EE4F	2ddc344d322b399d004d2f2441390c1299592524c61d200202e4ca6c3f37cc3f
manafold-hover	600	0xA2D0E051	598ae201bc80a2aed601c354fbb934de74722cb437008f03493dc45f3e5850aa
manafold-inspect	600	0x779615BB	4e43aa738f253895b077347ff9f66b3af01cb42b2a8b49c6f275580fd3ba04c4
manafold-lasso	336	0xF6B893FE	c60883501b6fee54faf0f29d2ae232e95d7317ef9adfb0b104bcd1f0de9f6ee0
manafold-pirouette	240	0xE05DB5C3	3b0444e0a686b7db0bdf5c1e6f55f06e61d9b468dc97c671ee3b09d2139de48e
manafold-rest	400	0xA8B3AD33	b279fb87ae2fa8f06601cad46a0180c81da5fd798ba1d60002212e06aa820fc7
manafold-startle	160	0xFD813D7E	7e11071f591e463cd53c854f7e0e42a483ccd281a402a6131395ca7a3fd22e16
manafold-taunt	280	0x3F19A505	f045bd604bf1a809ca0f119170d9e99799c725c833109232fae0ed9f27edcc6f
manafold-taunt2	240	0xE2F2232F	ce693e196a4882ebbc95cf43477588359e59b25073b1f072ecd50212f5319e84
manafold-taunt3	368	0x75BC4777	5d73de28d5fa1ebe89291c58d77050f3e667c85bd9c29aad7e434439770a7193
manafold-trick	400	0x71BB47B9	16469e3197b26c0aa57632ea23f648419089d20e42b6722be83d8c653350d615
